variable,weight,target,sign,period_l,period_h
output,0.0100652640926694,vfci,neg,4,12
investment,-0.0693699266155149,vfci,neg,4,12
consumption,-0.00943544502463135,vfci,neg,4,12
hours_worked,-0.0944744723072919,vfci,neg,4,12
unemployment,0.0208771873500896,vfci,neg,4,12
labor_share,-0.0429188363485723,vfci,neg,4,12
interest,-0.121129213948115,vfci,neg,4,12
inflation,-0.0236196974857845,vfci,neg,4,12
productivity,0.0579531223645077,vfci,neg,4,12
TFP,0.225528942132717,vfci,neg,4,12
vfci,-0.196191673499568,vfci,neg,4,12
output,-0.322751417054175,unemployment,pos,4,12
investment,-1.07819615734003,unemployment,pos,4,12
consumption,-0.209626113092475,unemployment,pos,4,12
hours_worked,-0.371532712606354,unemployment,pos,4,12
unemployment,0.186050790361257,unemployment,pos,4,12
labor_share,0.0109250200753737,unemployment,pos,4,12
interest,-0.0839163073628435,unemployment,pos,4,12
inflation,0.0118562198813167,unemployment,pos,4,12
productivity,-0.0488509561066726,unemployment,pos,4,12
TFP,0.193325189589653,unemployment,pos,4,12
vfci,-0.0224701725995034,unemployment,pos,4,12
output,-0.0100652640926694,vfci,pos,4,12
investment,0.0693699266155149,vfci,pos,4,12
consumption,0.00943544502463135,vfci,pos,4,12
hours_worked,0.0944744723072919,vfci,pos,4,12
unemployment,-0.0208771873500896,vfci,pos,4,12
labor_share,0.0429188363485723,vfci,pos,4,12
interest,0.121129213948115,vfci,pos,4,12
inflation,0.0236196974857845,vfci,pos,4,12
productivity,-0.0579531223645077,vfci,pos,4,12
TFP,-0.225528942132717,vfci,pos,4,12
vfci,0.196191673499568,vfci,pos,4,12
output,0.328546838143559,unemployment,neg,6,12
investment,1.08216086551345,unemployment,neg,6,12
consumption,0.214959602234103,unemployment,neg,6,12
hours_worked,0.37409147376449,unemployment,neg,6,12
unemployment,-0.184956530623614,unemployment,neg,6,12
labor_share,-0.0158097744553628,unemployment,neg,6,12
interest,0.0839076663465099,unemployment,neg,6,12
inflation,-0.0131194179817367,unemployment,neg,6,12
productivity,0.0541286167588673,unemployment,neg,6,12
TFP,-0.191871548362077,unemployment,neg,6,12
vfci,0.0225189895546612,unemployment,neg,6,12
output,-0.00601278531907574,vfci,neg,6,12
investment,-0.0986060680827969,vfci,neg,6,12
consumption,-0.0289457176218246,vfci,neg,6,12
hours_worked,-0.111465868542724,vfci,neg,6,12
unemployment,0.0242080948153135,vfci,neg,6,12
labor_share,-0.0399992448367585,vfci,neg,6,12
interest,-0.122894398146644,vfci,neg,6,12
inflation,-0.0261844749408975,vfci,neg,6,12
productivity,0.0498108938373822,vfci,neg,6,12
TFP,0.237864407003165,vfci,neg,6,12
vfci,-0.193348801099127,vfci,neg,6,12
output,-0.328546838143559,unemployment,pos,6,12
investment,-1.08216086551345,unemployment,pos,6,12
consumption,-0.214959602234103,unemployment,pos,6,12
hours_worked,-0.37409147376449,unemployment,pos,6,12
unemployment,0.184956530623614,unemployment,pos,6,12
labor_share,0.0158097744553628,unemployment,pos,6,12
interest,-0.0839076663465099,unemployment,pos,6,12
inflation,0.0131194179817367,unemployment,pos,6,12
productivity,-0.0541286167588673,unemployment,pos,6,12
TFP,0.191871548362077,unemployment,pos,6,12
vfci,-0.0225189895546612,unemployment,pos,6,12
output,0.00601278531907574,vfci,pos,6,12
investment,0.0986060680827969,vfci,pos,6,12
consumption,0.0289457176218246,vfci,pos,6,12
hours_worked,0.111465868542724,vfci,pos,6,12
unemployment,-0.0242080948153135,vfci,pos,6,12
labor_share,0.0399992448367585,vfci,pos,6,12
interest,0.122894398146644,vfci,pos,6,12
inflation,0.0261844749408975,vfci,pos,6,12
productivity,-0.0498108938373822,vfci,pos,6,12
TFP,-0.237864407003165,vfci,pos,6,12
vfci,0.193348801099127,vfci,pos,6,12
output,0.334936663911971,unemployment,neg,4,14
investment,1.09223849194573,unemployment,neg,4,14
consumption,0.215538410570594,unemployment,neg,4,14
hours_worked,0.376746296044936,unemployment,neg,4,14
unemployment,-0.18460405280278,unemployment,neg,4,14
labor_share,-0.0228962275312014,unemployment,neg,4,14
interest,0.0860044514751327,unemployment,neg,4,14
inflation,-0.0148120356057438,unemployment,neg,4,14
productivity,0.0628793825043971,unemployment,neg,4,14
TFP,-0.188462742554856,unemployment,neg,4,14
vfci,0.0270130046743106,unemployment,neg,4,14
output,-0.00248772341189964,vfci,neg,4,14
investment,-0.0962955734247454,vfci,neg,4,14
consumption,-0.0216328189965386,vfci,neg,4,14
hours_worked,-0.107742494298708,vfci,neg,4,14
unemployment,0.0248756395230118,vfci,neg,4,14
labor_share,-0.0426905182759613,vfci,neg,4,14
interest,-0.123377152522191,vfci,neg,4,14
inflation,-0.0243228467802223,vfci,neg,4,14
productivity,0.0526515475904223,vfci,neg,4,14
TFP,0.233316104781342,vfci,neg,4,14
vfci,-0.194587319909162,vfci,neg,4,14
output,-0.334936663911971,unemployment,pos,4,14
investment,-1.09223849194573,unemployment,pos,4,14
consumption,-0.215538410570594,unemployment,pos,4,14
hours_worked,-0.376746296044936,unemployment,pos,4,14
unemployment,0.18460405280278,unemployment,pos,4,14
labor_share,0.0228962275312014,unemployment,pos,4,14
interest,-0.0860044514751327,unemployment,pos,4,14
inflation,0.0148120356057438,unemployment,pos,4,14
productivity,-0.0628793825043971,unemployment,pos,4,14
TFP,0.188462742554856,unemployment,pos,4,14
vfci,-0.0270130046743106,unemployment,pos,4,14
output,0.00248772341189964,vfci,pos,4,14
investment,0.0962955734247454,vfci,pos,4,14
consumption,0.0216328189965386,vfci,pos,4,14
hours_worked,0.107742494298708,vfci,pos,4,14
unemployment,-0.0248756395230118,vfci,pos,4,14
labor_share,0.0426905182759613,vfci,pos,4,14
interest,0.123377152522191,vfci,pos,4,14
inflation,0.0243228467802223,vfci,pos,4,14
productivity,-0.0526515475904223,vfci,pos,4,14
TFP,-0.233316104781342,vfci,pos,4,14
vfci,0.194587319909162,vfci,pos,4,14
output,0.339484800631171,unemployment,neg,6,14
investment,1.09559092681334,unemployment,neg,6,14
consumption,0.219270887016526,unemployment,neg,6,14
hours_worked,0.378577165843447,unemployment,neg,6,14
unemployment,-0.183722760171952,unemployment,neg,6,14
labor_share,-0.0270437233089193,unemployment,neg,6,14
interest,0.0861120375466644,unemployment,neg,6,14
inflation,-0.0158524593330017,unemployment,neg,6,14
productivity,0.0674082812537792,unemployment,neg,6,14
TFP,-0.186958606016687,unemployment,neg,6,14
vfci,0.0274072418405841,unemployment,neg,6,14
output,-0.0190236063369779,vfci,neg,6,14
investment,-0.128025770813153,vfci,neg,6,14
consumption,-0.0402542515236817,vfci,neg,6,14
hours_worked,-0.124649405148234,vfci,neg,6,14
unemployment,0.0287299340236037,vfci,neg,6,14
labor_share,-0.0400395576316343,vfci,neg,6,14
interest,-0.125134619341562,vfci,neg,6,14
inflation,-0.0263996919532466,vfci,neg,6,14
productivity,0.0444601735804054,vfci,neg,6,14
TFP,0.244348167877322,vfci,neg,6,14
vfci,-0.191468411084391,vfci,neg,6,14
output,-0.339484800631171,unemployment,pos,6,14
investment,-1.09559092681334,unemployment,pos,6,14
consumption,-0.219270887016526,unemployment,pos,6,14
hours_worked,-0.378577165843447,unemployment,pos,6,14
unemployment,0.183722760171952,unemployment,pos,6,14
labor_share,0.0270437233089193,unemployment,pos,6,14
interest,-0.0861120375466644,unemployment,pos,6,14
inflation,0.0158524593330017,unemployment,pos,6,14
productivity,-0.0674082812537792,unemployment,pos,6,14
TFP,0.186958606016687,unemployment,pos,6,14
vfci,-0.0274072418405841,unemployment,pos,6,14
output,0.0190236063369779,vfci,pos,6,14
investment,0.128025770813153,vfci,pos,6,14
consumption,0.0402542515236817,vfci,pos,6,14
hours_worked,0.124649405148234,vfci,pos,6,14
unemployment,-0.0287299340236037,vfci,pos,6,14
labor_share,0.0400395576316343,vfci,pos,6,14
interest,0.125134619341562,vfci,pos,6,14
inflation,0.0263996919532466,vfci,pos,6,14
productivity,-0.0444601735804054,vfci,pos,6,14
TFP,-0.244348167877322,vfci,pos,6,14
vfci,0.191468411084391,vfci,pos,6,14
output,0.345013248640399,unemployment,neg,8,14
investment,1.10115809616252,unemployment,neg,8,14
consumption,0.222116386693853,unemployment,neg,8,14
hours_worked,0.380559991755875,unemployment,neg,8,14
unemployment,-0.182880494154826,unemployment,neg,8,14
labor_share,-0.0324261388154541,unemployment,neg,8,14
interest,0.0867878372700912,unemployment,neg,8,14
inflation,-0.017381168913813,unemployment,neg,8,14
productivity,0.074006879110506,unemployment,neg,8,14
TFP,-0.184279619738976,unemployment,neg,8,14
vfci,0.0292395475051047,unemployment,neg,8,14
output,-0.0338808235191043,vfci,neg,8,14
investment,-0.16045568151882,vfci,neg,8,14
consumption,-0.0546739151719229,vfci,neg,8,14
hours_worked,-0.13949821272384,vfci,neg,8,14
unemployment,0.0335110498656759,vfci,neg,8,14
labor_share,-0.0397513152451142,vfci,neg,8,14
interest,-0.127093451046049,vfci,neg,8,14
inflation,-0.027473783551123,vfci,neg,8,14
productivity,0.0381919679573135,vfci,neg,8,14
TFP,0.252282839780749,vfci,neg,8,14
vfci,-0.188623495602506,vfci,neg,8,14
output,-0.345013248640399,unemployment,pos,8,14
investment,-1.10115809616252,unemployment,pos,8,14
consumption,-0.222116386693853,unemployment,pos,8,14
hours_worked,-0.380559991755875,unemployment,pos,8,14
unemployment,0.182880494154826,unemployment,pos,8,14
labor_share,0.0324261388154541,unemployment,pos,8,14
interest,-0.0867878372700912,unemployment,pos,8,14
inflation,0.017381168913813,unemployment,pos,8,14
productivity,-0.074006879110506,unemployment,pos,8,14
TFP,0.184279619738976,unemployment,pos,8,14
vfci,-0.0292395475051047,unemployment,pos,8,14
output,0.0338808235191043,vfci,pos,8,14
investment,0.16045568151882,vfci,pos,8,14
consumption,0.0546739151719229,vfci,pos,8,14
hours_worked,0.13949821272384,vfci,pos,8,14
unemployment,-0.0335110498656759,vfci,pos,8,14
labor_share,0.0397513152451142,vfci,pos,8,14
interest,0.127093451046049,vfci,pos,8,14
inflation,0.027473783551123,vfci,pos,8,14
productivity,-0.0381919679573135,vfci,pos,8,14
TFP,-0.252282839780749,vfci,pos,8,14
vfci,0.188623495602506,vfci,pos,8,14
output,0.345562119735304,unemployment,neg,4,16
investment,1.10538977101727,unemployment,neg,4,16
consumption,0.219525489718948,unemployment,neg,4,16
hours_worked,0.38084174544521,unemployment,neg,4,16
unemployment,-0.183188543061908,unemployment,neg,4,16
labor_share,-0.0350995543051795,unemployment,neg,4,16
interest,0.0882245893455922,unemployment,neg,4,16
inflation,-0.0169525397834317,unemployment,neg,4,16
productivity,0.0760606093382251,unemployment,neg,4,16
TFP,-0.183140491198737,unemployment,neg,4,16
vfci,0.0318049315479958,unemployment,neg,4,16
output,-0.0156967922219525,vfci,neg,4,16
investment,-0.125659138418118,vfci,neg,4,16
consumption,-0.0328286388590052,vfci,neg,4,16
hours_worked,-0.120780085862814,vfci,neg,4,16
unemployment,0.0291270227952906,vfci,neg,4,16
labor_share,-0.0415804476681463,vfci,neg,4,16
interest,-0.125569512162357,vfci,neg,4,16
inflation,-0.0244168693576818,vfci,neg,4,16
productivity,0.0466794953142507,vfci,neg,4,16
TFP,0.239388048811658,vfci,neg,4,16
vfci,-0.192873166241096,vfci,neg,4,16
output,-0.345562119735304,unemployment,pos,4,16
investment,-1.10538977101727,unemployment,pos,4,16
consumption,-0.219525489718948,unemployment,pos,4,16
hours_worked,-0.38084174544521,unemployment,pos,4,16
unemployment,0.183188543061908,unemployment,pos,4,16
labor_share,0.0350995543051795,unemployment,pos,4,16
interest,-0.0882245893455922,unemployment,pos,4,16
inflation,0.0169525397834317,unemployment,pos,4,16
productivity,-0.0760606093382251,unemployment,pos,4,16
TFP,0.183140491198737,unemployment,pos,4,16
vfci,-0.0318049315479958,unemployment,pos,4,16
output,0.0156967922219525,vfci,pos,4,16
investment,0.125659138418118,vfci,pos,4,16
consumption,0.0328286388590052,vfci,pos,4,16
hours_worked,0.120780085862814,vfci,pos,4,16
unemployment,-0.0291270227952906,vfci,pos,4,16
labor_share,0.0415804476681463,vfci,pos,4,16
interest,0.125569512162357,vfci,pos,4,16
inflation,0.0244168693576818,vfci,pos,4,16
productivity,-0.0466794953142507,vfci,pos,4,16
TFP,-0.239388048811658,vfci,pos,4,16
vfci,0.192873166241096,vfci,pos,4,16
output,0.349221599780152,unemployment,neg,6,16
investment,1.10817440385201,unemployment,neg,6,16
consumption,0.222250284613671,unemployment,neg,6,16
hours_worked,0.382183133469915,unemployment,neg,6,16
unemployment,-0.182436383729595,unemployment,neg,6,16
labor_share,-0.0387137736554548,unemployment,neg,6,16
interest,0.0883822721006153,unemployment,neg,6,16
inflation,-0.0177933786890176,unemployment,neg,6,16
productivity,0.0799692280261016,unemployment,neg,6,16
TFP,-0.181667273073672,unemployment,neg,6,16
vfci,0.0323409229407699,unemployment,neg,6,16
output,-0.0325722566044497,vfci,neg,6,16
investment,-0.159314248521688,vfci,neg,6,16
consumption,-0.0505226027005723,vfci,neg,6,16
hours_worked,-0.137432322357923,vfci,neg,6,16
unemployment,0.0333279241441503,vfci,neg,6,16
labor_share,-0.0388427887881748,vfci,neg,6,16
interest,-0.127267927152375,vfci,neg,6,16
inflation,-0.0260260857871217,vfci,neg,6,16
productivity,0.0383181930443384,vfci,neg,6,16
TFP,0.249053671326636,vfci,neg,6,16
vfci,-0.189545057961231,vfci,neg,6,16
output,-0.349221599780152,unemployment,pos,6,16
investment,-1.10817440385201,unemployment,pos,6,16
consumption,-0.222250284613671,unemployment,pos,6,16
hours_worked,-0.382183133469915,unemployment,pos,6,16
unemployment,0.182436383729595,unemployment,pos,6,16
labor_share,0.0387137736554548,unemployment,pos,6,16
interest,-0.0883822721006153,unemployment,pos,6,16
inflation,0.0177933786890176,unemployment,pos,6,16
productivity,-0.0799692280261016,unemployment,pos,6,16
TFP,0.181667273073672,unemployment,pos,6,16
vfci,-0.0323409229407699,unemployment,pos,6,16
output,0.0325722566044497,vfci,pos,6,16
investment,0.159314248521688,vfci,pos,6,16
consumption,0.0505226027005723,vfci,pos,6,16
hours_worked,0.137432322357923,vfci,pos,6,16
unemployment,-0.0333279241441503,vfci,pos,6,16
labor_share,0.0388427887881748,vfci,pos,6,16
interest,0.127267927152375,vfci,pos,6,16
inflation,0.0260260857871217,vfci,pos,6,16
productivity,-0.0383181930443384,vfci,pos,6,16
TFP,-0.249053671326636,vfci,pos,6,16
vfci,0.189545057961231,vfci,pos,6,16
output,0.353784557004141,unemployment,neg,8,16
investment,1.11273239133548,unemployment,neg,8,16
consumption,0.224317101515225,unemployment,neg,8,16
hours_worked,0.383651530082935,unemployment,neg,8,16
unemployment,-0.181636892872603,unemployment,neg,8,16
labor_share,-0.0436092437628433,unemployment,neg,8,16
interest,0.0890220505827416,unemployment,neg,8,16
inflation,-0.0190135679572954,unemployment,neg,8,16
productivity,0.0857325533426378,unemployment,neg,8,16
TFP,-0.179139347281124,unemployment,neg,8,16
vfci,0.0340904550551147,unemployment,neg,8,16
output,-0.0478741313193684,vfci,neg,8,16
investment,-0.193390869866775,vfci,neg,8,16
consumption,-0.0642259431146565,vfci,neg,8,16
hours_worked,-0.152115498414042,vfci,neg,8,16
unemployment,0.0382808908190067,vfci,neg,8,16
labor_share,-0.037977793119177,vfci,neg,8,16
interest,-0.129146502405409,vfci,neg,8,16
inflation,-0.0266391369698213,vfci,neg,8,16
productivity,0.0315902512373636,vfci,neg,8,16
TFP,0.255749561104566,vfci,neg,8,16
vfci,-0.186539942402125,vfci,neg,8,16
output,-0.353784557004141,unemployment,pos,8,16
investment,-1.11273239133548,unemployment,pos,8,16
consumption,-0.224317101515225,unemployment,pos,8,16
hours_worked,-0.383651530082935,unemployment,pos,8,16
unemployment,0.181636892872603,unemployment,pos,8,16
labor_share,0.0436092437628433,unemployment,pos,8,16
interest,-0.0890220505827416,unemployment,pos,8,16
inflation,0.0190135679572954,unemployment,pos,8,16
productivity,-0.0857325533426378,unemployment,pos,8,16
TFP,0.179139347281124,unemployment,pos,8,16
vfci,-0.0340904550551147,unemployment,pos,8,16
output,0.0478741313193684,vfci,pos,8,16
investment,0.193390869866775,vfci,pos,8,16
consumption,0.0642259431146565,vfci,pos,8,16
hours_worked,0.152115498414042,vfci,pos,8,16
unemployment,-0.0382808908190067,vfci,pos,8,16
labor_share,0.037977793119177,vfci,pos,8,16
interest,0.129146502405409,vfci,pos,8,16
inflation,0.0266391369698213,vfci,pos,8,16
productivity,-0.0315902512373636,vfci,pos,8,16
TFP,-0.255749561104566,vfci,pos,8,16
vfci,0.186539942402125,vfci,pos,8,16
output,0.358959818224192,unemployment,neg,10,16
investment,1.1184208836753,unemployment,neg,10,16
consumption,0.225832669849723,unemployment,neg,10,16
hours_worked,0.385246840944565,unemployment,neg,10,16
unemployment,-0.18069262598791,unemployment,neg,10,16
labor_share,-0.0498838483896559,unemployment,neg,10,16
interest,0.0901397573825071,unemployment,neg,10,16
inflation,-0.0203447945701643,unemployment,neg,10,16
productivity,0.0928494842124313,unemployment,neg,10,16
TFP,-0.175949881372136,unemployment,neg,10,16
vfci,0.0368682622225216,unemployment,neg,10,16
output,-0.0626393264405945,vfci,neg,10,16
investment,-0.227875033149199,vfci,neg,10,16
consumption,-0.0753384695913135,vfci,neg,10,16
hours_worked,-0.165715045450673,vfci,neg,10,16
unemployment,0.0433901116928869,vfci,neg,10,16
labor_share,-0.0369308601715074,vfci,neg,10,16
interest,-0.131063410068012,vfci,neg,10,16
inflation,-0.0262220157286564,vfci,neg,10,16
productivity,0.0249990822435428,vfci,neg,10,16
TFP,0.260185133264371,vfci,neg,10,16
vfci,-0.183747753662302,vfci,neg,10,16
output,-0.358959818224192,unemployment,pos,10,16
investment,-1.1184208836753,unemployment,pos,10,16
consumption,-0.225832669849723,unemployment,pos,10,16
hours_worked,-0.385246840944565,unemployment,pos,10,16
unemployment,0.18069262598791,unemployment,pos,10,16
labor_share,0.0498838483896559,unemployment,pos,10,16
interest,-0.0901397573825071,unemployment,pos,10,16
inflation,0.0203447945701643,unemployment,pos,10,16
productivity,-0.0928494842124313,unemployment,pos,10,16
TFP,0.175949881372136,unemployment,pos,10,16
vfci,-0.0368682622225216,unemployment,pos,10,16
output,0.0626393264405945,vfci,pos,10,16
investment,0.227875033149199,vfci,pos,10,16
consumption,0.0753384695913135,vfci,pos,10,16
hours_worked,0.165715045450673,vfci,pos,10,16
unemployment,-0.0433901116928869,vfci,pos,10,16
labor_share,0.0369308601715074,vfci,pos,10,16
interest,0.131063410068012,vfci,pos,10,16
inflation,0.0262220157286564,vfci,pos,10,16
productivity,-0.0249990822435428,vfci,pos,10,16
TFP,-0.260185133264371,vfci,pos,10,16
vfci,0.183747753662302,vfci,pos,10,16
output,0.353984486788679,unemployment,neg,4,18
investment,1.11612310029911,unemployment,neg,4,18
consumption,0.222020817046601,unemployment,neg,4,18
hours_worked,0.383809939244713,unemployment,neg,4,18
unemployment,-0.181881928681159,unemployment,neg,4,18
labor_share,-0.0461486310350759,unemployment,neg,4,18
interest,0.0902547314408823,unemployment,neg,4,18
inflation,-0.0181296818289173,unemployment,neg,4,18
productivity,0.0871421834666583,unemployment,neg,4,18
TFP,-0.178065367273526,unemployment,neg,4,18
vfci,0.0360284488278522,unemployment,neg,4,18
output,-0.0281090154248206,vfci,neg,4,18
investment,-0.153877881497031,vfci,neg,4,18
consumption,-0.0422612196356908,vfci,neg,4,18
hours_worked,-0.132258830642964,vfci,neg,4,18
unemployment,0.0330524116768241,vfci,neg,4,18
labor_share,-0.0395083059354936,vfci,neg,4,18
interest,-0.127439652285143,vfci,neg,4,18
inflation,-0.0241550046140762,vfci,neg,4,18
productivity,0.0406639614946895,vfci,neg,4,18
TFP,0.243476392103998,vfci,neg,4,18
vfci,-0.191248455299926,vfci,neg,4,18
output,-0.353984486788679,unemployment,pos,4,18
investment,-1.11612310029911,unemployment,pos,4,18
consumption,-0.222020817046601,unemployment,pos,4,18
hours_worked,-0.383809939244713,unemployment,pos,4,18
unemployment,0.181881928681159,unemployment,pos,4,18
labor_share,0.0461486310350759,unemployment,pos,4,18
interest,-0.0902547314408823,unemployment,pos,4,18
inflation,0.0181296818289173,unemployment,pos,4,18
productivity,-0.0871421834666583,unemployment,pos,4,18
TFP,0.178065367273526,unemployment,pos,4,18
vfci,-0.0360284488278522,unemployment,pos,4,18
output,0.0281090154248206,vfci,pos,4,18
investment,0.153877881497031,vfci,pos,4,18
consumption,0.0422612196356908,vfci,pos,4,18
hours_worked,0.132258830642964,vfci,pos,4,18
unemployment,-0.0330524116768241,vfci,pos,4,18
labor_share,0.0395083059354936,vfci,pos,4,18
interest,0.127439652285143,vfci,pos,4,18
inflation,0.0241550046140762,vfci,pos,4,18
productivity,-0.0406639614946895,vfci,pos,4,18
TFP,-0.243476392103998,vfci,pos,4,18
vfci,0.191248455299926,vfci,pos,4,18
output,0.357024695902065,unemployment,neg,6,18
investment,1.11842543752553,unemployment,neg,6,18
consumption,0.224118686131205,unemployment,neg,6,18
hours_worked,0.384833770118934,unemployment,neg,6,18
unemployment,-0.181209637080732,unemployment,neg,6,18
labor_share,-0.0493646521379243,unemployment,neg,6,18
interest,0.0904328282487088,unemployment,neg,6,18
inflation,-0.0188119999312033,unemployment,neg,6,18
productivity,0.0905707850312377,unemployment,neg,6,18
TFP,-0.176655259069205,unemployment,neg,6,18
vfci,0.0366071328371988,unemployment,neg,6,18
output,-0.045107579978932,vfci,neg,6,18
investment,-0.188676665014529,vfci,neg,6,18
consumption,-0.0590545897043288,vfci,neg,6,18
hours_worked,-0.148493049652868,vfci,neg,6,18
unemployment,0.0374280958222864,vfci,neg,6,18
labor_share,-0.0364994972197825,vfci,neg,6,18
interest,-0.129042247680672,vfci,neg,6,18
inflation,-0.0253903776030332,vfci,neg,6,18
productivity,0.0321475389741589,vfci,neg,6,18
TFP,0.251878056212019,vfci,neg,6,18
vfci,-0.187790732315505,vfci,neg,6,18
output,-0.357024695902065,unemployment,pos,6,18
investment,-1.11842543752553,unemployment,pos,6,18
consumption,-0.224118686131205,unemployment,pos,6,18
hours_worked,-0.384833770118934,unemployment,pos,6,18
unemployment,0.181209637080732,unemployment,pos,6,18
labor_share,0.0493646521379243,unemployment,pos,6,18
interest,-0.0904328282487088,unemployment,pos,6,18
inflation,0.0188119999312033,unemployment,pos,6,18
productivity,-0.0905707850312377,unemployment,pos,6,18
TFP,0.176655259069205,unemployment,pos,6,18
vfci,-0.0366071328371988,unemployment,pos,6,18
output,0.045107579978932,vfci,pos,6,18
investment,0.188676665014529,vfci,pos,6,18
consumption,0.0590545897043288,vfci,pos,6,18
hours_worked,0.148493049652868,vfci,pos,6,18
unemployment,-0.0374280958222864,vfci,pos,6,18
labor_share,0.0364994972197825,vfci,pos,6,18
interest,0.129042247680672,vfci,pos,6,18
inflation,0.0253903776030332,vfci,pos,6,18
productivity,-0.0321475389741589,vfci,pos,6,18
TFP,-0.251878056212019,vfci,pos,6,18
vfci,0.187790732315505,vfci,pos,6,18
output,0.360865850429383,unemployment,neg,8,18
investment,1.12213705594167,unemployment,neg,8,18
consumption,0.225675328711876,unemployment,neg,8,18
hours_worked,0.385947434719327,unemployment,neg,8,18
unemployment,-0.180439759843875,unemployment,neg,8,18
labor_share,-0.0538326611163398,unemployment,neg,8,18
interest,0.0910347356087386,unemployment,neg,8,18
inflation,-0.0197863575571802,unemployment,neg,8,18
productivity,0.0956649681185932,unemployment,neg,8,18
TFP,-0.174277750740987,unemployment,neg,8,18
vfci,0.0382390753673395,unemployment,neg,8,18
output,-0.0605368734877863,vfci,neg,8,18
investment,-0.223491785170079,vfci,neg,8,18
consumption,-0.0720180368088119,vfci,neg,8,18
hours_worked,-0.162768741427175,vfci,neg,8,18
unemployment,0.0423963155134456,vfci,neg,8,18
labor_share,-0.0350103494049526,vfci,neg,8,18
interest,-0.130797010663059,vfci,neg,8,18
inflation,-0.0256727387037902,vfci,neg,8,18
productivity,0.0250911973807762,vfci,neg,8,18
TFP,0.257433045626739,vfci,neg,8,18
vfci,-0.184703011579242,vfci,neg,8,18
output,-0.360865850429383,unemployment,pos,8,18
investment,-1.12213705594167,unemployment,pos,8,18
consumption,-0.225675328711876,unemployment,pos,8,18
hours_worked,-0.385947434719327,unemployment,pos,8,18
unemployment,0.180439759843875,unemployment,pos,8,18
labor_share,0.0538326611163398,unemployment,pos,8,18
interest,-0.0910347356087386,unemployment,pos,8,18
inflation,0.0197863575571802,unemployment,pos,8,18
productivity,-0.0956649681185932,unemployment,pos,8,18
TFP,0.174277750740987,unemployment,pos,8,18
vfci,-0.0382390753673395,unemployment,pos,8,18
output,0.0605368734877863,vfci,pos,8,18
investment,0.223491785170079,vfci,pos,8,18
consumption,0.0720180368088119,vfci,pos,8,18
hours_worked,0.162768741427175,vfci,pos,8,18
unemployment,-0.0423963155134456,vfci,pos,8,18
labor_share,0.0350103494049526,vfci,pos,8,18
interest,0.130797010663059,vfci,pos,8,18
inflation,0.0256727387037902,vfci,pos,8,18
