Time Series Search Export,Search term,Search filters,,Last update of Credit to the non-financial sector data,Downloaded at,Source,Source URL,Download URL,About Credit to the non-financial sector
,,,,2024-06-10,2024-07-31 15:42 CEST,BIS,"https:/data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.US.P.B.M.770.A?additional_ts=BIS%2CWS_TC%2C2.0%255EQ.US.P.A.M.770.A","https:/data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.US.P.B.M.770.A?additional_ts=BIS%2CWS_TC%2C2.0%255EQ.US.P.A.M.770.A&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/TOTAL_CREDIT

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,BORROWERS_CTY:Borrowers' country,TC_BORROWERS:Borrowing sector,TC_LENDERS:Lending sector,VALUATION:Valuation method,UNIT_TYPE:Unit type,TC_ADJUST:Adjustment,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1950-06-30,F:Free,,A:Normal value,55.8
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1950-09-30,F:Free,,A:Normal value,56.1
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1950-12-31,F:Free,,A:Normal value,55.7
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1951-03-31,F:Free,,A:Normal value,54.8
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1951-06-30,F:Free,,A:Normal value,54.1
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1951-09-30,F:Free,,A:Normal value,53.9
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1951-12-31,F:Free,,A:Normal value,54.0
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1952-03-31,F:Free,,A:Normal value,53.6
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1952-06-30,F:Free,,A:Normal value,54.8
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1952-09-30,F:Free,,A:Normal value,55.6
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1952-12-31,F:Free,,A:Normal value,56.7
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1953-03-31,F:Free,,A:Normal value,56.6
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1953-06-30,F:Free,,A:Normal value,57.1
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1953-09-30,F:Free,,A:Normal value,57.3
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1953-12-31,F:Free,,A:Normal value,58.0
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1954-03-31,F:Free,,A:Normal value,58.4
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1954-06-30,F:Free,,A:Normal value,59.9
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1954-09-30,F:Free,,A:Normal value,61.3
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1954-12-31,F:Free,,A:Normal value,62.5
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1955-03-31,F:Free,,A:Normal value,62.6
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1955-06-30,F:Free,,A:Normal value,63.8
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1955-09-30,F:Free,,A:Normal value,64.2
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1955-12-31,F:Free,,A:Normal value,65.2
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1956-03-31,F:Free,,A:Normal value,65.3
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1956-06-30,F:Free,,A:Normal value,66.5
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1956-09-30,F:Free,,A:Normal value,67.1
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1956-12-31,F:Free,,A:Normal value,67.9
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1957-03-31,F:Free,,A:Normal value,67.7
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1957-06-30,F:Free,,A:Normal value,68.7
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1957-09-30,F:Free,,A:Normal value,68.8
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1957-12-31,F:Free,,A:Normal value,69.5
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1958-03-31,F:Free,,A:Normal value,69.9
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1958-06-30,F:Free,,A:Normal value,71.1
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1958-09-30,F:Free,,A:Normal value,72.0
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1958-12-31,F:Free,,A:Normal value,73.3
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1959-03-31,F:Free,,A:Normal value,72.6
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1959-06-30,F:Free,,A:Normal value,73.2
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1959-09-30,F:Free,,A:Normal value,73.5
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1959-12-31,F:Free,,A:Normal value,74.6
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1960-03-31,F:Free,,A:Normal value,74.2
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1960-06-30,F:Free,,A:Normal value,75.7
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1960-09-30,F:Free,,A:Normal value,76.1
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1960-12-31,F:Free,,A:Normal value,77.5
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1961-03-31,F:Free,,A:Normal value,77.9
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1961-06-30,F:Free,,A:Normal value,79.2
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1961-09-30,F:Free,,A:Normal value,79.7
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1961-12-31,F:Free,,A:Normal value,80.5
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1962-03-31,F:Free,,A:Normal value,79.5
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1962-06-30,F:Free,,A:Normal value,80.1
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1962-09-30,F:Free,,A:Normal value,80.3
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1962-12-31,F:Free,,A:Normal value,81.6
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1963-03-31,F:Free,,A:Normal value,81.6
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1963-06-30,F:Free,,A:Normal value,83.1
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1963-09-30,F:Free,,A:Normal value,83.6
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1963-12-31,F:Free,,A:Normal value,84.8
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1964-03-31,F:Free,,A:Normal value,84.3
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1964-06-30,F:Free,,A:Normal value,85.2
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1964-09-30,F:Free,,A:Normal value,85.3
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1964-12-31,F:Free,,A:Normal value,86.4
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1965-03-31,F:Free,,A:Normal value,86.3
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1965-06-30,F:Free,,A:Normal value,87.3
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1965-09-30,F:Free,,A:Normal value,87.3
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1965-12-31,F:Free,,A:Normal value,87.5
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1966-03-31,F:Free,,A:Normal value,86.8
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1966-06-30,F:Free,,A:Normal value,87.5
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1966-09-30,F:Free,,A:Normal value,86.8
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1966-12-31,F:Free,,A:Normal value,86.9
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1967-03-31,F:Free,,A:Normal value,86.5
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1967-06-30,F:Free,,A:Normal value,87.5
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1967-09-30,F:Free,,A:Normal value,87.7
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1967-12-31,F:Free,,A:Normal value,89.9
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1968-03-31,F:Free,,A:Normal value,88.3
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1968-06-30,F:Free,,A:Normal value,88.9
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1968-09-30,F:Free,,A:Normal value,88.5
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1968-12-31,F:Free,,A:Normal value,89.3
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1969-03-31,F:Free,,A:Normal value,88.3
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1969-06-30,F:Free,,A:Normal value,89.4
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1969-09-30,F:Free,,A:Normal value,89.2
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1969-12-31,F:Free,,A:Normal value,90.0
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1970-03-31,F:Free,,A:Normal value,89.2
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1970-06-30,F:Free,,A:Normal value,90.2
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1970-09-30,F:Free,,A:Normal value,90.6
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1970-12-31,F:Free,,A:Normal value,91.4
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1971-03-31,F:Free,,A:Normal value,90.9
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1971-06-30,F:Free,,A:Normal value,91.8
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1971-09-30,F:Free,,A:Normal value,92.1
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1971-12-31,F:Free,,A:Normal value,92.5
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1972-03-31,F:Free,,A:Normal value,92.5
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1972-06-30,F:Free,,A:Normal value,93.7
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1972-09-30,F:Free,,A:Normal value,93.9
"BIS,WS_TC,2.0",Q.US.P.A.M.770.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,M:Market value,770:Percentage of GDP,A:Adjusted for breaks,Percentage of GDP,Units,1972-12-31,F:Free,,A:Normal value,94.6
